City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,boa vista,2.8197,-60.6733,22.99,94,100,2.06,BR,1697958622
84,malanje,-9.5402,16.341,22.09,75,96,1.12,AO,1697958623
85,north bend,43.4065,-124.2243,15.48,94,100,0.0,US,1697958212
86,pangody,65.85,74.4859,-1.99,84,100,9.78,RU,1697958623
87,chulakkurgan,43.765,69.1814,16.2,48,100,12.63,KZ,1697958623
88,afaahiti,-17.75,-149.2833,24.93,80,93,5.34,PF,1697958623
89,port elizabeth,-33.918,25.5701,17.95,66,100,0.89,ZA,1697958624
90,chaiya,9.3862,99.1986,31.21,74,39,4.33,TH,1697958624
91,al marsa,36.8782,10.3247,19.94,68,20,1.03,TN,1697958624
92,kingston,17.997,-76.7936,28.53,89,20,2.06,JM,1697958363
93,luderitz,-26.6481,15.1594,18.51,66,0,0.97,NA,1697958625
94,enewetak,11.3474,162.3373,28.75,70,95,1.74,MH,1697958625
95,shahpura,27.3833,75.9667,30.57,25,13,0.79,IN,1697958625
96,la ronge,55.1001,-105.2842,3.86,65,100,2.43,CA,1697958625
97,adi keyh,14.8444,39.3772,18.01,56,9,2.96,ER,1697958625
98,brooks,50.5834,-111.8851,7.99,68,100,4.63,CA,1697958305
99,colonia,50.9333,6.95,12.55,86,100,2.57,DE,1697958626
100,labytnangi,66.6572,66.4183,-2.94,76,2,6.23,RU,1697958626
101,mukalla,14.5425,49.1242,30.6,51,60,3.52,YE,1697958626
102,urucara,-2.5364,-57.76,26.66,66,50,1.42,BR,1697958626
103,dudinka,69.4058,86.1778,-1.32,82,100,6.07,RU,1697958627
104,quellon,-43.1167,-73.6167,6.03,90,5,2.68,CL,1697958627
105,puerto baquerizo moreno,-0.9,-89.6,23.21,88,100,4.55,EC,1697958627
106,sierra grande,-41.606,-65.3557,8.82,79,69,4.13,AR,1697958627
107,port alfred,-33.5906,26.891,16.77,84,100,0.45,ZA,1697958627
108,enshi,30.3,109.4833,22.7,53,6,0.83,CN,1697958628
109,palmer,42.1584,-72.3287,12.51,66,40,5.66,US,1697958628
110,sake,-1.5736,29.045,24.65,56,11,1.25,CD,1697958628
111,ugoofaaru,5.6667,73.0,28.01,72,11,2.72,MV,1697958629
112,shimoda,34.6667,138.95,15.61,62,53,3.4,JP,1697958629
113,egilsstadir,65.2653,-14.3948,1.95,93,100,1.54,IS,1697958629
114,avarua,-21.2078,-159.775,22.03,94,27,2.57,CK,1697958629
115,st. john's,47.5649,-52.7093,16.75,95,100,0.45,CA,1697958605
116,ilulissat,69.2167,-51.1,-2.99,54,20,5.14,GL,1697958449
117,queenstown,-31.8976,26.8753,9.76,93,100,3.89,ZA,1697958630
118,novodvinsk,64.4165,40.8122,0.8,96,100,2.57,RU,1697958630
119,robertsport,6.7533,-11.3686,25.42,87,90,2.74,LR,1697958630
120,lorca,37.6712,-1.7017,14.24,68,100,2.58,ES,1697958620
121,key west,24.5557,-81.7826,25.56,78,0,0.0,US,1697958386
122,zuunmod,47.7069,106.9528,11.57,32,0,2.32,MN,1697958631
123,lihue,21.9789,-159.3672,25.58,88,75,2.06,US,1697958631
124,lagoa,39.05,-27.9833,18.32,62,100,8.81,PT,1697958631
125,san remo,43.8182,7.7612,17.4,73,6,1.79,IT,1697958631
126,tolanaro,-25.0319,46.9987,29.32,58,0,5.34,MG,1697958632
127,college,64.8569,-147.8028,-4.01,77,100,3.09,US,1697958632
128,ashland,40.8167,-82.2665,8.82,98,96,4.62,US,1697958473
129,serenje,-13.2325,30.2352,26.13,48,100,1.7,ZM,1697958632
130,nantucket,41.2835,-70.0995,15.03,73,0,12.35,US,1697958633
131,sumberpucung,-8.1586,112.4829,31.21,47,25,3.53,ID,1697958633
132,ciudad gustavo diaz ordaz,26.2333,-98.5833,24.58,86,100,5.95,MX,1697958633
133,eraan,9.0629,117.7016,29.25,76,100,2.26,PH,1697958633
134,blackmans bay,-43.0167,147.3167,14.85,76,24,0.89,AU,1697958633
135,horsham,51.064,-0.3272,8.32,98,77,0.51,GB,1697958634
136,mogok,22.9167,96.5,26.83,46,41,1.56,MM,1697958608
